學生ID,班級,科目,期中成績,期末成績,平時成績,出席率(%),作業完成率(%)
S001,三年A班,國文,79,80,76,100,57
S001,三年A班,英文,39,36,37,100,57
S001,三年A班,數學,56,56,52,100,57
S001,三年A班,自然,65,69,70,100,57
S001,三年A班,社會,68,61,68,100,57
S002,三年A班,國文,76,70,68,66,72
S002,三年A班,英文,31,27,36,66,72
S002,三年A班,數學,42,33,28,66,72
S002,三年A班,自然,71,77,78,66,72
S002,三年A班,社會,79,78,82,66,72
S003,三年A班,國文,91,90,88,77,94
S003,三年A班,英文,63,79,72,77,94
S003,三年A班,數學,53,39,53,77,94
S003,三年A班,自然,75,81,100,77,94
S003,三年A班,社會,71,83,76,77,94
S004,三年A班,國文,78,81,93,75,97
S004,三年A班,英文,63,75,72,75,97
S004,三年A班,數學,68,53,49,75,97
S004,三年A班,自然,85,96,100,75,97
S004,三年A班,社會,73,69,62,75,97
S005,三年A班,國文,72,71,86,77,99
S005,三年A班,英文,63,57,64,77,99
S005,三年A班,數學,75,73,85,77,99
S005,三年A班,自然,92,97,82,77,99
S005,三年A班,社會,77,86,88,77,99
S006,三年A班,國文,62,72,67,63,65
S006,三年A班,英文,88,100,82,63,65
S006,三年A班,數學,64,73,60,63,65
S006,三年A班,自然,48,44,57,63,65
S006,三年A班,社會,72,70,69,63,65
S007,三年A班,國文,61,58,54,81,51
S007,三年A班,英文,57,66,58,81,51
S007,三年A班,數學,53,46,44,81,51
S007,三年A班,自然,60,68,57,81,51
S007,三年A班,社會,60,66,57,81,51
S008,三年A班,國文,38,31,46,66,53
S008,三年A班,英文,70,82,75,66,53
S008,三年A班,數學,95,100,89,66,53
S008,三年A班,自然,91,99,100,66,53
S008,三年A班,社會,65,70,71,66,53
S009,三年A班,國文,78,83,65,84,50
S009,三年A班,英文,81,74,71,84,50
S009,三年A班,數學,46,78,63,84,50
S009,三年A班,自然,62,48,53,84,50
S009,三年A班,社會,75,74,74,84,50
S010,三年A班,國文,66,57,56,67,86
S010,三年A班,英文,55,56,53,67,86
S010,三年A班,數學,52,49,43,67,86
S010,三年A班,自然,72,71,80,67,86
S010,三年A班,社會,76,74,94,67,86
S011,三年A班,國文,69,81,87,75,73
S011,三年A班,英文,65,62,59,75,73
S011,三年A班,數學,88,100,99,75,73
S011,三年A班,自然,62,65,73,75,73
S011,三年A班,社會,82,75,92,75,73
S012,三年A班,國文,74,74,63,77,52
S012,三年A班,英文,64,54,72,77,52
S012,三年A班,數學,74,61,64,77,52
S012,三年A班,自然,71,76,82,77,52
S012,三年A班,社會,50,58,57,77,52
S013,三年A班,國文,92,97,100,95,76
S013,三年A班,英文,90,85,95,95,76
S013,三年A班,數學,65,58,64,95,76
S013,三年A班,自然,78,81,82,95,76
S013,三年A班,社會,82,100,98,95,76
S014,三年A班,國文,66,82,59,72,75
S014,三年A班,英文,59,59,64,72,75
S014,三年A班,數學,59,79,90,72,75
S014,三年A班,自然,81,92,79,72,75
S014,三年A班,社會,66,63,65,72,75
