學生ID,班級,國文_期中成績,國文_期末成績,國文_平時成績,英文_期中成績,英文_期末成績,英文_平時成績,數學_期中成績,數學_期末成績,數學_平時成績,自然_期中成績,自然_期末成績,自然_平時成績,社會_期中成績,社會_期末成績,社會_平時成績,出席率(%),作業完成率(%)
S001,三年A班,79,80,76,39,36,37,56,56,52,65,69,70,68,61,68,100,57
S002,三年A班,76,70,68,31,27,36,42,33,28,71,77,78,79,78,82,66,72
S003,三年A班,91,90,88,63,79,72,53,39,53,75,81,100,71,83,76,77,94
S004,三年A班,78,81,93,63,75,72,68,53,49,85,96,100,73,69,62,75,97
S005,三年A班,72,71,86,63,57,64,75,73,85,92,97,82,77,86,88,77,99
S006,三年A班,62,72,67,88,100,82,64,73,60,48,44,57,72,70,69,63,65
S007,三年A班,61,58,54,57,66,58,53,46,44,60,68,57,60,66,57,81,51
S008,三年A班,38,31,46,70,82,75,95,100,89,91,99,100,65,70,71,66,53
S009,三年A班,78,83,65,81,74,71,46,78,63,62,48,53,75,74,74,84,50
S010,三年A班,66,57,56,55,56,53,52,49,43,72,71,80,76,74,94,67,86
S011,三年A班,69,81,87,65,62,59,88,100,99,62,65,73,82,75,92,75,73
S012,三年A班,74,74,63,64,54,72,74,61,64,71,76,82,50,58,57,77,52
S013,三年A班,92,97,100,90,85,95,65,58,64,78,81,82,82,100,98,95,76
S014,三年A班,66,82,59,59,59,64,59,79,90,81,92,79,66,63,65,72,75
S015,三年A班,87,87,87,57,51,47,78,64,62,78,86,92,65,54,59,60,83
S016,三年A班,70,62,62,57,62,65,51,34,41,77,68,72,75,61,68,78,63
S017,三年A班,57,53,62,87,100,87,70,95,63,62,68,73,67,70,75,86,90
S018,三年A班,50,61,68,70,52,58,65,66,58,76,73,78,82,80,85,87,85
S019,三年A班,85,84,89,54,42,63,78,80,75,64,62,63,69,62,73,86,74
S020,三年A班,84,86,83,74,70,64,66,68,91,77,74,78,72,73,69,61,75
S021,三年A班,79,69,88,88,90,99,85,87,80,84,74,71,79,81,84,75,62
S022,三年A班,93,100,100,62,72,59,91,100,100,82,72,86,75,72,72,79,93
S023,三年A班,67,80,61,74,73,68,52,65,55,86,82,79,73,84,67,97,67
S024,三年A班,79,75,83,65,60,73,65,57,62,72,70,74,71,75,85,88,100
S025,三年A班,93,92,89,88,90,89,82,82,88,70,60,81,76,72,66,98,68
S026,三年A班,61,70,64,52,52,55,44,47,58,63,69,65,56,62,63,69,59
S027,三年A班,53,63,54,75,88,83,64,56,64,72,71,73,74,70,69,70,50
S028,三年A班,80,81,90,47,40,51,67,81,61,75,62,76,89,87,100,79,94
S029,三年A班,57,60,60,77,75,72,66,68,68,41,66,54,84,91,86,91,55
S030,三年A班,75,70,88,89,97,95,66,71,85,89,84,88,92,86,90,77,85
S031,三年A班,78,94,95,78,75,88,88,95,83,48,42,49,56,75,71,69,74
S032,三年A班,80,63,74,89,92,93,57,62,67,90,100,100,49,49,46,86,52
S033,三年A班,84,92,99,65,60,65,67,85,97,92,96,89,76,79,71,85,91
S034,三年A班,83,83,77,59,58,54,57,45,59,61,66,83,64,76,68,75,83
S035,三年A班,94,93,90,75,98,89,92,99,100,57,76,58,75,70,72,79,62
S036,三年A班,54,51,54,83,84,84,79,84,62,62,62,85,66,76,63,68,90
